PRS_NAT;libelle_prestation;libelle_prestation_en_b2
0;SANS OBJET;
1096;TELECONSULTATION MEDECIN TRAITANT AVEC EHPAD;TTE
1097;TELE EXPERTISE DOSSIER TRAITANT;TDT
1098;CONSULTATION CCMU 3;U03
1099;CONSULTATION CCMU 4 ET 5;U45
1100;PROTOCOLE MURAINE - BILAN VISUEL ;RNM
1101;AVIS PONCTUEL DE CONSULTANT PUPH;APU
1102;AVIS PONCTUEL DE CONSULTANT PSYCHIATRE;APY
1103;AVIS PONCTUEL DE CONSULTANT DU MEDECIN;APC
1104;CONSULTATION OBLIGATOIRE ENFANT;COE
1105;CONSULTATION COMPLEXE;CCX
1106;MAJORATION CONSULTATION COMPLEXE;MCX
1107;CONSULTATION TRES COMPLEXE ENFANT;CCE
1108;MAJORATION CONSULTATION TRES COMPLEXE;MTX
1109;CONSULTATION SPECIALISTE MEDECINE GENERALE;GS
1110;CONSULTATION MEDECINE GENERALE;G
1111;CONSULTATION COTEE C;C
1112;CONSULTATION COTEE CS;CS
1113;CONSULTATION COTEE CNP;CNP
1114;CONSULTATION SPECIFIQUE CARDIOLOGIE;CSC
1115;CONSULTATION BILAN;CA
1116;MAJORATION FORFAITAIRE TRANSITOIRE;MPC
1117;CONSULTATION DES SPECIALISTES COTEE C2;
1118;CONSULTATION DES PSYCHIATRES COTEE C2,5;
1119;MAJORATION TRANSITOIRE SPECIFIQUE;MTS
1120;COMPLEMENT CONSULTATION SPECIALISTE;CCS
1121;HONORAIRE DE SURVEILLANCE;HS
1122;EXAMEN SPECIAL (PROTOCOLE);EXS
1123;SUITE D  EXAMEN DE SANTE;SES
1124;REMUNERATION MEDECIN TRAITANT PAR PATIENT  EN ALD;RMT
1125;MAJORATION DE COORDINATION DES GENERALISTES;MCG
1126;MAJORATION DE COORDINATION SPECIALISTES;MCS
1127;MAJORATION DE COORDINATION CARDIOLOGUES;MCC
1128;DIFFERENTIEL REFERENT TRAITANT;DRT
1129;MAJORATION FORFAITAIRE TRANSITOIRE (POUR LES MOINS DE 16 ANS);MPJ
1130;FORFAIT MEDECIN TRAITANT;FMT
1131;MAJORATION CONSULTATION APPAREILLAGE;MTA
1132;MAJORATION CONSULTATION ENDOCRINO;MCE
1133;MAJORATION GENERALISTE ENFANT;MGE
1134;MAJORATION PREMIERE CONSULTATION FAMILLE;MPF
1135;MAJORATION CONSULTATION ANNUELLE FAMILLE;MAF
1136;MAJORATION ANNUELLE DE SYNTHESE;MAS
1137;MAJORATION NOURRISSON;MBB
1138;REMUNERATION ADDITIONNELLE CAPI;RAA
1139;REMUNERATION DES ADHERENTS AU  CAPI;RAC
1140;CONSULTATION SPECIFIQUE DE DEPISTAGE;CDE
1141;MAJORATION PEDIATRE ENFANT;MPE
1142;REMUNERATION ADHESION SOPHIA (SOINS DE VILLE);RSO
1143;REMUNERATION RENOUVELLEMENT SOPHIA (SOINS DE VILLE);RSR
1144;REMUNERATION FORFAITAIRE POUR LE SUIVI DES PATIENTS EN POST ALD;RST
1145;REMUNERATION OBJECTIF MEDECIN ET CENTRES DE SANTE;P4P
1146;REMUNERATION OBJECTIF MEDECIN COMPLEMENT ET CENTRES DE SANTE;R4P
1147;CONTESTATION FORFAIT MEDECIN TRAITANT;CFM
1148;REMUNERATION FORFAITAIRE PAR CONSULTATION POUR LE SUIVI DES PERSONNES AGEES;MPA
1149;CONTESTATION REMUNERATION SUIVI PERSONNES AGEES;CPA
1150;REMUNERATION PRATICIENS TERRITORIAUX DE MEDECINE GENERALE ;RPT
1152;MAJORATION SUIVI DES ENFANTS GRANDS PREMATURES OU ATTEINTS DE PATHOLOGIE CONGENITALE GRAVE;MPP
1153;MAJORATION CONSULTATION POUR INSUFFISANT CARDIAQUE APRES HOSPITALISATION;MIC
1154;MAJORATION CONSULTATION SUIVI APRES HOSPITALISATION PATIENTS A FORTE COMORBIDITE;MSH
1155;REMU CAS COTISATIONS SOCIALES;COT
1156;CONT. CAS COT.SOC.;CCO
1157;Acte de téléconsultation;TCP
1158;Acte de télé expertise;TEP
1159;renouvellement d'optique;RNO
1160;INVESTISSEMENT ACTIVITE SAISONNIERE;IAS
1161;COMPLEMENT PRATIQUE SAISONNIERE;CPS
1162;REMUNERATION DES PRATICIENS TERRITORIAUX DE MEDECINE AMBULATOIRE;RCM
1163;REMUNERATION DEPISTAGE DU CANCER COLORECTAL;KIT
1164;TÉLÉ CONSULTATION - ALD ET / OU EHPAD;TLC
1165;TÉLÉ EXPERTISE - ALD ET/OU EHPAD;TLE
1166;FORFAIT COMPLÉMENTAIRE TÉLÉ EXPERTISE;TEC
1167;VERSEMENT DE PENALITE DE RETARD AMO;NRD
1168;CONSULTATION DE CONTRACEPTION ET PREVENTION;CCP
1169;REMUNERATION POUR CERTIFICAT DE DECES ;RCD
1170;PEC EXCEPTIONNELLE DÉPASSEMENT HONORAIRE;DHE
1171;RÉMUNÉRATION MÉDECIN TRAITANT CENTRES DE SANTÉ;CSR
1172;TELESURVEILLANCE : PS EFFECTUANT L'ACCOMPAGNEMENT;TSA
1173;FORFAIT PATIENTELE MEDECIN TRAITANT;MTF
1174;TELESURVEILLANCE : MEDECIN TELESURVEILLANT;TSM
1175;PEC EXCEPTIONNELLE DEPASSEMENT HONORAIRE TP;DHT
1176;CONTRAT INDIVIDUEL EMBAUCHE - AVANCE;COI
1177;AIDE FINANCIERE MATERNITE PATERNITE ADOPTION;AFC
1178;FORFAIT STRUCT. MEDECIN;P6P
1179;FORFAIT STRUCT. MEDECIN COMPLEMENT;R6P
1180;ROSP MT ENFANT;P5P
1181;ROSP MT ENFANT COMPLEMENT;R5P
1182;REMUNERATION OPTAM;PTM
1183;CONTESTATION OPTAM;CTM
1188;CONTRAT COLLECTIF   ATTEINTE DES OBJECTIFS;CCA
1191;TELECONSULTATION TOUTES SPECIALITES;TC
1192;TELECONSULTATION GENERALISTE;TCG
1193;TELE EXPERTISE DE NIVEAU 1;TE1
1194;TELE EXPERTISE DE NIVEAU 2;TE2
1196;FORFAIT INNOVATION SYSTEME DE SANTE;FIS
1209;VISITE SPECIALISTE MEDECINE GENERALE;VGS
1210;VISITE MEDECINE GENERALE;VG
1211;VISITE COTEE V;V
1212;VISITE COTEE VS;VS
1213;VISITE COTEE VNP;VNP
1214;VISITE LONGUE ET COMPLEXE;VL
1215;AVIS PONCTUEL DE CONSULTANT MEDECIN (VISITE);APV
1216;AVIS PONCTUEL DE CONSULTANT PSYCHIATRE (VISITE);AVY
1221;VISITE D  URGENCE;VA
1222;VISITE URGENCE VU/MU;VU
1223;MAJORATION MAINTIEN A DOMICILE;MMD
1224;MD (CRITERES MEDICAUX);MD
1225;MDE ( CRITERES ENVIRONNEMENTAUX);MDE
1226;MD DE NUIT;MDN
1227;MD  DE MILIEU NUIT;MDI
1228;MD  DE DIMANCHE ET JOUR FERIES;MDD
1229;MDE  DE NUIT;MEN
1231;MDE MILIEU DE NUIT;MEI
1232;MDE DIMANCHE ET JOUR FERIES;MED
1311;ACTES EN K CHIRURGICAL;KC
1312;ACTES DE SPECIALITE EN K;K
1313;ACTES EN K D  URGENCE;KA
1314;FORFAIT CHIRURGIE 1;KFA
1315;FORFAIT CHIRURGIE 2;KFB
1316;ACTES DE DIAGNOSTIC COTES KE;KE
1317;ACTES EN KCC: ACTES SPECIFIQUES DES CHIRURGIENS;KCC
1318;ACTE DE PHONIATRIE PAR MEDECIN;KMO
1319;MAJORATION FORFAIT ACCOUCHEMENT;KFC
1320;FORFAIT RADIOGRAPHIE,ECHOGRAPHIE;KFD
1321;ACTE DE CHIRURGIE CCAM;ADC
1322;ACTE D'OBSTETRIQUE CCAM;ACO
1323;ACTE D'ANESTHESIE CCAM;ADA
1324;ACTE D'ECHOGRAPHIE CCAM;ADE
1331;ACTES DE RADIOLOGIE;Z
1332;ACTES DE RADIOLOGIE NUCLEAIRE;ZN
1333;MAJORATION POUR PRODUIT RADIOPHARMACEUTIQUE;PRA
1335;ACTE DE RADIOLOGIE MAMMOGRAPHIE;ZM/ADI
1336;ACTE DE RADIOLOGIE MAMMOGRAPHIE DEPISTAGE;ZM DEPISTAGE/ADI
1341;ACTES D  ANATOMO-CYTO-PATHOLOGIE/MEDECINS;P
1342;MAJORATION ANATOMO-CYTO-PATHOLOGIE;MAP
1345;MAJORATION TRANSITOIRE;MTC
1351;ACTE D'IMAGERIE (hors ECHOGRAPHIE) CCAM;ADI
1352;ACTES TECHNIQUES MEDICAUX  (hors IMAGERIE) CCAM;ATM
1361;VIDEOCAPSULE;VDC
1400;BRIDGE RAC MODERE;BR1
1401;PROTHESE FIXE RAC 0;PF0
1402;PROTHESE FIXE RAC MODERE;PF1
1403;REPARATION FACETTE PROTHESE AMOVIBLE RAC 0;RF0
1404;REPARATION ADJONCTION RAC 0;RA0
1405;REPARATION PROTHESE ADJOINTE SIMPLE RAC 0;RS0
1406;SUPPLEMENT PROTHESE RESINE RAC 0;SU0
1407;COURONNE TRANSITOIRE RAC MODERE;CT1
1408;COURONNE ZIRCONE RAC MODERE;CZ1
1409;INLAY CORE RAC MODERE;IC1
1410;INLAY ONLAY RAC MOERE;IN1
1411;ACTES EN SCM (ET SPA POUR LA CRPCEN);SCM/SPA
1412;PROTHESE AMOVIBLE RAC MODERE;PA1
1413;REPARATION PROTHESE RAC MODERE;RE1
1414;SUPPLEMENT PROTHESE METALLIQUE RAC MODERE;SU1
1415;PROTHESE FIXE METALLIQUE RAC 0;CM0
1416;COURONNE TRANSITOIRE RAC 0;CT0
1417;COURONNE ZIRCONE RAC 0;CZ0
1418;INLAY CORE RAC 0;IC0
1419;PROTHESE AMOVIBLE RAC 0;PA0
1420;PROTHESE AMOVIBLE DE TRANSITION RAC 0;PT0
1421;ACTES DE PROTHESE DENTAIRE PRATIQUES PAR LE MEDECIN;PRO
1422;TRAITEMENTS D  ORTHODONTIE PRATIQUES PAR LE MEDECIN (ET EOS POUR LA CRPCEN);ORT/EOS
1423;ACTES DE PROTHESE DENTAIRE PRATIQUES PAR LE CHIRURGIEN-DENTISTE;SPR
1424;TRAITEMENTS D  ORTHODONTIE PRATIQUES PAR LE CHIRURGIEN-DENTISTE (ET ETO POUR LA CRPCEN);TO/ETO
1425;COMPLEMENT AT 150% DENTAIRE;ATD
1426;PEC EXCEPTIONNELLE DÉPASSEMENT DENTAIRE ;DDE
1427;PEC EXCEPTIONNELLE DEPASSEMENT DENTAIRE TP;DDT
1431;ACTES EN D (ET OCC POUR LA CRPCEN);D/OCC
1432;ACTES EN DC;DC
1433;ACTES EN SC (ET SCA POUR LA CRPCEN);SC/SCA
1434;PREVENTION BUCCO-DENTAIRE: CONSULTATION - MATER;BDC
1435;PREVENTION BUCCO-DENTAIRE: RADIO DEUX CLICHES-MATER;BR2
1436;PREVENTION BUCCO-DENTAIRE: RADIO QUATRE CLICHES-MATER;BR4
1437;Majoration spécifique PDS Clinique Dentiste;MCD
1451;SOINS DENTAIRES;SDE
1452;PROTHESE AMOVIBLE DEFINITIVE RESINE, A partir du 01/04/2019 (en date de soins) PROTHESE AMOVIBLE RESINE TARIF LIBRE ;PAR
1453;PROPHYLAXIE BUCCO DENTAIRE CCAM;AXI
1461;ACTES DIVERS PROTHESE DENTAIRE CCAM;ADP
1462;PROTHESE FIXE METALLIQUE, A partir du 01/04/2019 (en date de soins) PROTHESE FIXE METALLIQUE TARIF LIBRE;PFM
1463;PROTHESE DENTAIRE FIXE ESTHETIQUE CCAM;PFE
1464;PROTHESE DENTAIRE AMOVIBLE CCAM;PDA
1465;IMPLANTOLOGIE - CCAM;IMP
1466;TRAITEMENT ORTHOPEDIE DENTO FACIALE CCAM;TOR
1470;ENDODONTIE;END
1471;INLAY-ONLAY, A partir du 01/04/2019 (en date de soins) INLAY-ONLAY TARIF LIBRE;INO
1472;PARODONTOLOGIE;TDS
1473;INLAY-CORE, A partir du 01/04/2019 (en date de soins) INLAY-CORE TARIF LIBRE;ICO
1474;PROTHESE AMOVIBLE DEFINITIVE METALLIQUE, A partir du 01/04/2019 (en date de soins) PROTHESE AMOVIBLE METALLIQUE TARIF LIBRE;PAM
1475;PROTHESE DENTAIRE PROVISOIRE, A partir du 01/04/2019 (en date de soins) COURONNE TRANSITOIRE TARIF LIBRE ;PDT
1476;PROTHESE FIXE CERAMIQUE, A partir du 01/04/2019 (en date de soins) PROTHESE FIXE CERAMIQUE TARIF LIBRE;PFC
1477;REPARATION SUR PROTHESE, A partir du 01/04/2019 (en date de soins) REPARATION PROTHESE TARIF LIBRE;RPN
1511;FORFAIT D  ACCOUCHEMENT SIMPLE DES SAGES-FEMMES (FORFAIT N91);A
1521;MAJORATION POUR GARDE;MG
1522;MAJORATION ASTREINTE;MA
1523;Permanence Rémunération demi-journée Chirurgien-dentiste;PRC
1602;FORFAIT CONTRAT DE BONNES PRATIQUES;CBP
1603;FORFAIT CONTRAT DE BONNES PRATIQUES CP1;CP1
1605;FORFAIT CONTRAT DE BONNES PRATIQUES CP3;CP3
1606;FORFAIT CONTRAT DE BONNES PRATIQUES;CPL
1607;FORFAIT CONTRAT DE SANTE PUBLIQUE INFIRMIER;CSI
1608;FORFAIT CONTRAT DE SANTE PUBLIQUE BIOLOGISTES;CSL
1609;CONTRAT DE BONNES PRATIQUES ZONE RURAL;CBR
1610;RÉMUNÉRATION CONTRAT D'ACCÈS AUX SOINS DENTAIRES;CAD
1611;CONTRAT DE BONNES PRATIQUES ZONE MONTAGNE;CBM
1612;CONTRAT DE BONNES PRATIQUES ZONE URBAINE;CBU
1613;CONTRAT DE BONNES PRATIQUES ZONE FRANCHE URBAINE;ZFU
1614;CONTRAT DE BONNES PRATIQUES TRANSPORTEURS 2006;CP6
1615;CONTRAT DE BONNES PRATIQUES TRANSPORTEURS 2007;CP7
1616;CONTRAT DE BONNES PRATIQUES TRANSPORTEURS 2008;CP8
1617;REDEVANCE CHEF DE CLINIQUE;RCC
1618;COMPLEMENT DE REMUNERATION CHEF DE CLINIQUE;CRC
1619;CONTRAT SANTE SOLIDARITE;CSS
1621;CONTRAT D'AMELIORATION DE L'ORGANISATION DES SOINS - TRANSPORTS;CAT
1622;CONTRAT D'AMELIORATION DE L'ORGANISATION DES SOINS - PHARMACIE/LPP;CAP
1623;REVERSEMENTS CONTRAT D'AMELIORATION DE L'ORGANISATION DES SOINS TRANSPORTS;RCT
1624;REVERSEMENTS CONTRAT D'AMELIORATION DE L'ORGANISATION DES SOINS - PHARMACIE / LPP;RCL
1625;PENALITES CONTRAT D'AMELIORATION DE L'ORGANISATION DES SOINS - TRANSPORT;PCT
1627;CONTRAT INCITATIF CHIRURGIEN-DENTISTE;CIC
1628;DEMO. AIDE FORFAITAIRE GROUPE;ODG
1629;DEMO. AIDE FORFAITAIRE POLE SANTE;ODP
1630;DEMO. ACTIVITE GROUPE;DAG
1631;DEMO. ACTIVITE POLE SANTE;DOP
1632;SST AIDE ACTIVITE;STA
1633;SST FRAIS DEPLACEMENT;STD
1634;CONTESTATION POUR AIDE FORFAITAIRE POUR LES ADHERENTS A L'OPTION DEMOGRAPHIE DANS UN GROUPE;CDG
1636;CONTESTATION POUR AIDE A L'ACTIVITE POUR LES ADHERENTS A L'OPTION DEMOGRAPHIE DANS UN GROUPE;CAG
1640;FORFAIT AIDE A L'INSTALLATION DU MEDECIN - CAIM;CIM
1641;MAJORATION AIDE À L'INSTALLATION DU MEDECIN - CAIM;MAI
1642;MAJORATION POUR EXERCICE PARTIEL EN HÔPITAL DE PROXIMITÉ - CAIM;EHP
1643;PAIEMENT AIDE ACTIVITE - CSTM;PAA
1644;MAJO REMUNERATION ARS - CSTM;MAM
1645;PAIEMENT PRISE EN CHARGE FRAIS DEPLACEMENT - CSTM;DEP
1646;AIDE FORFAITAIRE - COSCOM;AIF
1647;REMUNERATION COMPLEMENTAIRE ACCUEIL DE STAGIAIRE - COSCOM;RMS
1648;REMUNERATION COMPLEMENTAIRE EXERCICE EN HOPITAL - COSCOM;RHP
1649;PAIEMENT MAJORATION DE LA REMUNERATION ARS - COSCOM;MAO
1650;AIDE A L'ACTIVITE   COTRAM;CAA
1651;PAIEMENT MAJORATION REMUNERATION ARS   COTRAM;MRA
1652;PTMR  -  REMPLACEMENT;RFC
1653;PTMR  - MALADIE, MATERNITE, PATERNITE;RCR
1701;CDS  MEDICAL OPTANT FORF DEBUT;CMD
1702;CDS MEDICAL OPTANT FORF FIN;CMF
1703;CDS MEDICAL OPTANT FORFTACITE;CMT
1704;CDS DENTAIRE OPTANT FORF INITIAL;CDI
1705;CDS DENTAIRE OPTANT FORF SUIVI;CDS
1706;CDS DENTAIRE OPTANT FORF FINAL;CDF
1707;CDS INFIRMIER OPTANT FORF DEBUT;CID
1708;CDS INFIRMIER OPTANT FORF FIN;CIF
1711;FORFAIT MEDECIN REFERENT DEBUT DE CONTRAT;MRD
1712;FORFAIT MEDECIN REFERENT FIN DE CONTRAT;MRF
1718;FORFAIT D'ADHESION ZONE DEFICITAIRE;FAZ
1721;FORFAIT PROFESSIONNEL (F01) FILIERES ET RESEAUX;F01
